English Word	English Sentence
Octopus	The tentacles of this octopus are at least two meters long.
Lobster	Lobster is a very pricey meal. 
Pelican	The pelican swallowed three fishes at a time. 
Plankton	Plancton is at the base of the food chain.
Tadpole	Tadpoles metamophose into frogs after a few weeks.
Nest	The stork nested on the chimney.
Cocoon	The caterpillar is making its cocoon.
Terrier	The marmot is digging its burrow.
Fur	The fur of this animal is very expensive. 
Skin	The skin of the cow is used to make leather.
Claw	The claws of the cat are retractile.
Fang	The fangs of the cat were covered with blood.
Feather	There are pigeon feathers all over the room.
Chuckle	The turkey giggles to impress the female turkey.
Bleat	Sheep bleated while on their way back to the stable.
Neigh	The studhorse neighed before galloping away.
Caw	You can hear a crow cawing far away. 
Roar	The lion roared in the savanna.
Moo	Cows moo when they are scared
Grunt	The neighbour's dog growled when he saw the children.
Meow	The cat is meowing in front of the fridge.
Bark	The dogs barked all night long.
Shell	They sell turtle shells at the market.
Scale	The fish scales should be removed before putting it in the oven.
Paw	The cat hurt his paw.
Fin	A shark fin alarmed the surfers.
Rays	Zebras rays do not constitute a good camouflage.
Spot	Panthers spots are black. 
Claws	The eagle grasped the lamb into its claws.
Tail	The cat uses its tail to keep its balance.
Teat	The monkey cub suckled the teat of its mother. 
Hoof	The horse gave him a kick with his hoof. 
Wild	The tiger is a wild animal. 
Domestic	It is a domestic boar but it is still dangerous. 
Pet 	Do you have pets at home?
Ants nest	The ants nest was busy.
Termitary	The termitary seemed empty.
Gorilla	The gorilla tried to intimidate the poacher.
Macaque	The macaque bit his hand.
Orang utan	Urang utangs are threatened by palm oil culture.
Source	There is a spring on its land.
Lazy	Sloths live in Amazonia.
Alligator	My father had his leg eaten by an alligator.
Cobra	Cobra venom is deadly.
Viper	A viper was warming up in the sun.
Snake	This grass-snake is sloughing its skin. 
Rattlesnake	A rattlesnake was coiled up around the branch. 
Lizard	Lizards regulate their body temperature by sunbathing. 
Toucan	Toucans beaks are very coloured.
Falcon	The hawk swooped down on its prey. 
Parrot	Parrots can live up to eighty years.
Parakeet	Parakeets often live in pairs.
Condor	A condor flied high in the sky.
Ostrich	The ostrich burried its head into the sand.
Penguin	Penguins can fly, unlike ...
Penguin	Penguins can swim over large distances to reach fishing zones.
Polar bear	White bears were found drowned.
Coyote	The coyote seemed to be following a track.
Vagina	Gynecologists deal with vagina problems, among others.
Penis	Among primates, the human being is the one with the biggest penis.
Armpits	His shirt was wet at the at the level of his armpits.
Ankle	She twisted her ankle when she fell in the stairs.
Blades	He has a permanent pain between the scapulas.
Tear	Tears rolled on his cheeks.
Language	His tongue is white.
Saliva	The doctor took a sample of his saliva.
Lymph	His lymph nodes were swollen because of the infection.
Testicle	He had only one testicle left after his motorcycle accident. 
Breast	Breast cancers are detected more and more precociously.
Tetons	Some people have three nipples.
Nails	He is trimming his nails.
Nerves	Spinal nerves are the nerves emerging from the spinal cord. 
Neuron	Neurons are little renewed during adulthood. 
Navel	He has a scar under the navel. 
Forearm	She has a bruise on her forearm. 
White blood cells	Her immune system is depressed, she has little white blood cells.
Red cells	Red blood cells carry oxygen throughout the body.
Antibody	The body develops antibodies againts parasites.
Valve	He has got a problem with one of his heart valves.
Eyelid	Your eyelids are heavy.
Cheekbones	She had prominent cheekbones just like her sister. 
Face	Her face did not show any emotion. 
Fist	She clutched her fist to hide her pain.
Heel	He broke his heel by falling in the stairs.
Jaw	He has tensed up jaws. 
Kneecap	He fractured hi kneecap when he fell on his knee
Neck	He is feeling a stiffness in his neck.
Organ	Abdominal organs are visible on the echography.
Pancreas	The pancreas produces juices essential for digestion. 
Skeleton	We can see almost all his squeleton on the radios.
Spine	The spinal cord goes through the spine.
Tooth	She broke one of her teeth. 
Throat	His throat is hoarse because of the cold.
Bust	He got a punch at the torso level.
Hips	She has large hips
Capillary	Capillaries are very small blood vessels.
Annular	People wear the wedding band at the left annular.
Index	She pointed her index at him.
Major	She has fractured her medium finger.
Little finger	She has a slint at her little finger.
Pubis	He has a scar at the pubis level.
Pelvis	The pelvis is another name of the 
Basin	He had to do a radio of the pelvis.
Clavicle	He broke his clavicle at a rugby practice. 
Body	"A sane mind in a sane body" is our motto.
Head	The ostrich burried its head into the sand.
Leg	One has to strech his legs after running.
Arm	He broke his arm in a skiing accident. 
Foot	She is flexible enough to touch her feet with her hands.
Hand	His left hand is very swollen. 
Shoulder	She dislocated her shoulder when she fell off her bike. 
Knee	She sees a physiotherapist for her knee problems.
Elbow	He bumped his elbow on the door handle.
Wrist	I have sprained my wrist when I fell. 
Finger	I cannot bend my finger anymore.
Inch	He was asked for his thumb fingerprint.
Neck	The physiotherapist 
Nose	She had a nose job. 
Mouth	Shut your mouth when you eat.
Eye	Do I have an eyelash in my eye?
Ear	His ears are red because of the cold.
Chin	He opened his chin when he fell off his bike. 
Forehead	He has a pimple on the forehead.
Hair	She has curly hair. 
Pile	Your hairs have clugged the sink, you have to be more careful when you shave. 
Buttock	She has a beauty spot on the left buttock. 
Thigh	He has a big bruise on his thigh. 
Mollet	She has cramp in her calf.
Tibia	She kicked him in the tibia. 
Abdomen	His abdomen had to be opened to make the operation possible. 
Stomach	His stomach pain went away quickly.
Intestines	Your intestines can be upset when you eat spicy food. 
Liver	He was given a liver transplant. 
Skin	He had a sunburnt three weeks ago and now his skin is peeling.
